#class tools::wcsv::ntuple
#title Muon Tomography Hits
#separator 44
#vector_separator 59
#column int EventID
#column string Sensor
#column double X
#column double Y
#column double Z
#column double Theta
#column double Phi
68,TopSensor,-343.12,-830.133,1010,3.14099,1.8504
68,BottomSensor,-361.345,-820.919,-990,3.12004,2.53263
69,TopSensor,-607.702,676.459,1010,3.14151,-1.02288
69,BottomSensor,-575.259,680.906,-990,3.10305,0.46176
70,TopSensor,-930.918,953.24,1010,3.14137,0.423202
70,BottomSensor,-933.281,982.318,-990,3.11265,1.74159
71,TopSensor,195.008,816.579,1010,3.14153,-2.06758
71,BottomSensor,181.445,837.478,-990,3.11271,2.11722
72,TopSensor,533.91,72.8532,1010,3.14148,2.17672
72,BottomSensor,504.435,69.5442,-990,3.11558,-2.99626
73,TopSensor,-424.298,9.4397,1010,3.14154,0.767745
73,BottomSensor,-405.213,23.9519,-990,3.10384,1.04078
74,TopSensor,-749.187,115.971,1010,3.14151,-2.3107
74,BottomSensor,-737.543,144.138,-990,3.11491,1.14115
75,TopSensor,-501.694,59.1779,1010,3.14149,1.60049
75,BottomSensor,-504.591,61.5291,-990,3.13627,3.08351
76,TopSensor,636.073,-33.7113,1010,3.14147,1.72822
76,BottomSensor,617.86,-39.1712,-990,3.12193,-2.94416
77,TopSensor,-633.117,-937.1,1010,3.14139,2.11424
77,BottomSensor,-628.927,-954.588,-990,3.11344,-1.1188
78,TopSensor,695.106,-369.703,1010,3.14154,-1.35615
78,BottomSensor,675.754,-364.919,-990,3.11937,2.87869
79,TopSensor,-412.009,-768.718,1010,3.14156,-1.15357
79,BottomSensor,-393.877,-777.116,-990,3.12222,-0.263782
80,TopSensor,5.33741,-593.767,1010,3.14145,-3.01712
80,BottomSensor,14.6409,-596.676,-990,3.12805,-0.13098
81,TopSensor,-249.474,953.835,1010,3.14152,-3.08309
81,BottomSensor,-250.297,952.442,-990,3.13791,2.48697
82,TopSensor,650.657,-787.864,1010,3.14117,0.557681
82,BottomSensor,665.934,-782.594,-990,3.12562,0.691903
83,TopSensor,-722.654,965.139,1010,3.14145,0.638392
83,BottomSensor,-742.872,964.562,-990,3.1313,-2.77944
84,TopSensor,879.626,-509.186,1010,3.14143,0.253433
84,BottomSensor,878.039,-511.221,-990,3.1394,-1.40543
85,TopSensor,95.2789,-935.782,1010,3.14149,-0.249204
85,BottomSensor,106.503,-961.801,-990,3.11609,-1.23711
86,TopSensor,-857.355,-573.828,1010,3.14143,-0.928121
86,BottomSensor,-833.725,-585.261,-990,3.11706,-0.60014
87,TopSensor,-964.461,-954.953,1010,3.1415,1.70044
87,BottomSensor,-954.929,-948.693,-990,3.13469,0.81904
88,TopSensor,-575.504,276.912,1010,3.14154,0.0247284
88,BottomSensor,-541.475,251.071,-990,3.102,-0.331495
89,TopSensor,50.7638,352.963,1010,3.14145,0.637605
89,BottomSensor,38.2369,346.616,-990,3.12637,-2.60858
90,TopSensor,128.401,-994.531,1010,3.1415,2.61797
90,BottomSensor,117.406,-992.89,-990,3.13377,3.14027
91,TopSensor,801.111,441.792,1010,3.14155,-2.04367
91,BottomSensor,783.326,446.393,-990,3.12749,2.55061
92,TopSensor,-843.968,-645.527,1010,3.14156,-2.32109
92,BottomSensor,-842.055,-647.524,-990,3.13757,0.339472
93,TopSensor,881.938,-781.894,1010,3.14152,-1.00113
93,BottomSensor,926.734,-756.177,-990,3.09362,0.494036
94,TopSensor,-146.827,414.617,1010,3.14119,0.734902
94,BottomSensor,-169.771,421.317,-990,3.11921,2.80777
95,TopSensor,-945.287,251.332,1010,3.14131,1.74611
95,BottomSensor,-934.892,264.939,-990,3.12814,0.944226
96,TopSensor,622.859,-372.699,1010,3.14142,-0.794289
96,BottomSensor,626.489,-349.001,-990,3.12234,1.64657
97,TopSensor,900.853,-737.253,1010,3.1411,-1.10235
97,BottomSensor,893.417,-728.294,-990,3.12876,2.62299
98,TopSensor,136.717,-446.017,1010,3.14152,-3.08535
98,BottomSensor,146.241,-453.817,-990,3.12948,-0.488151
99,TopSensor,-575.717,-943.319,1010,3.14138,2.22754
99,BottomSensor,-586.812,-934.311,-990,3.12974,2.53047
100,TopSensor,600.411,697.567,1010,3.14142,0.183423
100,BottomSensor,598.49,688.127,-990,3.12731,-1.85815
101,TopSensor,858.283,495.38,1010,3.14126,2.96307
101,BottomSensor,869.829,469.436,-990,3.11108,-1.17875
102,TopSensor,839.372,889.206,1010,3.14146,-2.43936
102,BottomSensor,845.861,912.759,-990,3.11935,1.24343
103,TopSensor,207.081,685.606,1010,3.14131,-1.69128
103,BottomSensor,207.181,690.999,-990,3.1369,0.416912
104,TopSensor,-206.727,-420.621,1010,3.14116,-1.3469
104,BottomSensor,-172.172,-397.528,-990,3.09861,0.6548
105,TopSensor,-82.4241,-668.637,1010,3.14141,-0.671018
105,BottomSensor,-62.4704,-670.717,-990,3.12054,-0.486495
106,TopSensor,269.261,-298.453,1010,3.14156,3.06447
106,BottomSensor,278.573,-294.491,-990,3.13929,-0.535783
107,TopSensor,-501.919,-308.297,1010,3.14157,1.87031
107,BottomSensor,-514.021,-298.006,-990,3.12241,2.22837
108,TopSensor,-974.479,912.619,1010,3.14144,3.13585
108,BottomSensor,-979.488,922.179,-990,3.12659,2.04721
109,TopSensor,-152.377,377.126,1010,3.14153,0.990503
109,BottomSensor,-147.407,376.452,-990,3.13327,1.62301
110,TopSensor,-607.8,-790.618,1010,3.14146,1.50061
110,BottomSensor,-596.675,-778.211,-990,3.11968,1.3121
111,TopSensor,-28.5479,-681.83,1010,3.14148,-2.39462
111,BottomSensor,-24.0976,-677.104,-990,3.13238,-0.0153026
112,TopSensor,280.579,949.778,1010,3.14147,1.83682
112,BottomSensor,266.358,939.349,-990,3.12754,-1.77523
113,TopSensor,-333.163,-13.7692,1010,3.14133,1.87127
113,BottomSensor,-332.643,-19.9132,-990,3.13386,-0.576217
114,TopSensor,130.525,-806.024,1010,3.14153,2.31473
114,BottomSensor,129.928,-779.875,-990,3.11576,1.72311
115,TopSensor,-912.084,385.908,1010,3.14152,2.73379
115,BottomSensor,-909.282,465.944,-990,3.07504,1.46006
116,TopSensor,476.906,556.009,1010,3.14142,1.48602
116,BottomSensor,401.434,573.371,-990,3.0682,3.03811
117,TopSensor,-745.382,902.38,1010,3.1414,-1.11811
117,BottomSensor,-744.25,880.127,-990,3.1231,-1.43862
118,TopSensor,-345.315,518.915,1010,3.1415,1.42625
118,BottomSensor,-344.697,521.178,-990,3.13608,-0.0321742
119,TopSensor,-472.4,-691.71,1010,3.14154,-3.13266
119,BottomSensor,-474.192,-689.091,-990,3.13551,-0.881771
120,TopSensor,-450.728,836.554,1010,3.14142,2.80536
120,BottomSensor,-463.266,799.583,-990,3.11473,-2.02487
121,TopSensor,173.244,716.924,1010,3.14129,1.43597
121,BottomSensor,183.286,735.783,-990,3.1155,1.2064
122,TopSensor,-308.645,-119.843,1010,3.14143,-1.17623
122,BottomSensor,-293.506,-112.916,-990,3.12331,0.355809
123,TopSensor,-920.122,443.941,1010,3.14156,-0.592624
123,BottomSensor,-901.72,437.863,-990,3.1219,-0.516885
124,TopSensor,-899.429,11.4529,1010,3.14143,-1.78002
124,BottomSensor,-880.856,-9.9057,-990,3.11739,-0.679243
125,TopSensor,-83.3866,-744.768,1010,3.14143,-2.67726
125,BottomSensor,-86.7576,-764.25,-990,3.11157,-1.93336
126,TopSensor,907.914,-727.932,1010,3.14144,0.73763
126,BottomSensor,892.992,-727.798,-990,3.12045,-2.90149
127,TopSensor,242.286,-177.231,1010,3.14121,-1.30431
127,BottomSensor,238.183,-177.527,-990,3.13568,2.74288
